goos: linux
goarch: amd64
pkg: github.com/itelman/go-concurrency
cpu: AMD Ryzen 5 6600HS Creator Edition
BenchmarkSyncPool/VLight_2_Producers-12         	   49089	     22249 ns/op	  123040 B/op	     124 allocs/op
BenchmarkSyncPool/VLight_2_Producers-12         	   53160	     26476 ns/op	  123040 B/op	     124 allocs/op
BenchmarkSyncPool/VLight_2_Producers-12         	   49346	     24289 ns/op	  123040 B/op	     124 allocs/op
BenchmarkSyncPool/VLight_2_Producers-12         	   54230	     22260 ns/op	  123040 B/op	     124 allocs/op
BenchmarkSyncPool/VLight_2_Producers-12         	   54441	     22370 ns/op	  123040 B/op	     124 allocs/op
BenchmarkSyncPool/VLight_2_Producers-12         	   53623	     25295 ns/op	  123040 B/op	     124 allocs/op
BenchmarkSyncPool/VLight_2_Producers-12         	   45044	     22298 ns/op	  123040 B/op	     124 allocs/op
BenchmarkSyncPool/VLight_2_Producers-12         	   50782	     23325 ns/op	  123040 B/op	     124 allocs/op
BenchmarkSyncPool/VLight_2_Producers-12         	   52531	     23810 ns/op	  123040 B/op	     124 allocs/op
BenchmarkSyncPool/VLight_2_Producers-12         	   53457	     23186 ns/op	  123040 B/op	     124 allocs/op
BenchmarkSyncPool/Light_4_Producers-12          	   52953	     24872 ns/op	  123136 B/op	     126 allocs/op
BenchmarkSyncPool/Light_4_Producers-12          	   47739	     25225 ns/op	  123137 B/op	     126 allocs/op
BenchmarkSyncPool/Light_4_Producers-12          	   52272	     24368 ns/op	  123136 B/op	     126 allocs/op
BenchmarkSyncPool/Light_4_Producers-12          	   52183	     22909 ns/op	  123136 B/op	     126 allocs/op
BenchmarkSyncPool/Light_4_Producers-12          	   48987	     23357 ns/op	  123136 B/op	     126 allocs/op
BenchmarkSyncPool/Light_4_Producers-12          	   48900	     21257 ns/op	  123136 B/op	     126 allocs/op
BenchmarkSyncPool/Light_4_Producers-12          	   49830	     24211 ns/op	  123136 B/op	     126 allocs/op
BenchmarkSyncPool/Light_4_Producers-12          	   50004	     23402 ns/op	  123136 B/op	     126 allocs/op
